Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
277, Ashes to Ashes (Kingdoms and Curses Book 1), A. Lonergan, 4.22 avg rating - 32 ratings, 15, 1, https://www.goodreads.com/book/show/51807533-ashes-to-ashes, https://www.goodreads.com/author/show/16346654.A_Lonergan, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582756055i/51807533.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582756055i/51807533._SY75_.jpg
278, Stolen Crown: A Retelling of Thumbelina (The Emerald Realm #4), Abigail Manning, 4.39 avg rating - 79 ratings, 15, 2, https://www.goodreads.com/book/show/61311405-stolen-crown, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655559918i/61311405.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655559918i/61311405._SX50_.jpg
279, Wolfskin, W.R. Gingell, 4.26 avg rating - 607 ratings, 15, 1, https://www.goodreads.com/book/show/65151177-wolfskin, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670734662i/65151177.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670734662i/65151177._SY75_.jpg
280, Beasts and Beauty, A. Lonergan, 4.40 avg rating - 15 ratings, 14, 1, https://www.goodreads.com/book/show/56697425-beasts-and-beauty, https://www.goodreads.com/author/show/16346654.A_Lonergan, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610910088i/56697425.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610910088i/56697425._SY75_.jpg
281, Blackfoot (Two Monarchies Sequence #2), W.R. Gingell, 4.09 avg rating - 587 ratings, 14, 1, https://www.goodreads.com/book/show/33932233-blackfoot, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1484964512i/33932233.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484964512i/33932233._SY75_.jpg
282, Crimson Claws: A Retelling of Little Red Riding Hood (The Ruby Realm #1), Abigail Manning, 4.34 avg rating - 93 ratings, 13, 2, https://www.goodreads.com/book/show/62862620-crimson-claws, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664799356i/62862620.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664799356i/62862620._SX50_.jpg
283, Castle and Key (Two Monarchies Sequence #5), W.R. Gingell, 4.47 avg rating - 185 ratings, 13, 1, https://www.goodreads.com/book/show/60569276-castle-and-key, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646685311i/60569276.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646685311i/60569276._SY75_.jpg
284, So This Is Love: A Twisted Tale, Elizabeth Lim, 4.11 avg rating - 11.046 ratings, 12, 1, https://www.goodreads.com/book/show/54082745-so-this-is-love, https://www.goodreads.com/author/show/6926374.Elizabeth_Lim, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1592248847i/54082745.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592248847i/54082745._SX50_.jpg
285, Playing Hearts, W.R. Gingell, 4.02 avg rating - 386 ratings, 12, 1, https://www.goodreads.com/book/show/50003220-playing-hearts, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1563829023l/50003220SY75_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563829023l/50003220._SX50_SY75_.jpg
286, Towering Future: A Retelling of Rapunzel (The Emerald Realm #5), Abigail Manning, 4.54 avg rating - 80 ratings, 11, 2, https://www.goodreads.com/book/show/62003794-towering-future, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660742380i/62003794.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660742380i/62003794._SX50_.jpg
