Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
23, As Chimney Sweepers Come to Dust (Flavia de Luce #7), Alan Bradley, 3.96 avg rating - 26.650 ratings, 1.092, 11, https://www.goodreads.com/book/show/21874813-as-chimney-sweepers-come-to-dust, https://www.goodreads.com/author/show/1074866.Alan_Bradley, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813._SX50_.jpg
24, Revival, Stephen King, 3.80 avg rating - 118.132 ratings, 1.080, 11, https://www.goodreads.com/book/show/20926278-revival, https://www.goodreads.com/author/show/3389.Stephen_King, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278._SY75_.jpg
25, Edge of Eternity (The Century Trilogy #3), Ken Follett, 4.17 avg rating - 99.190 ratings, 1.065, 11, https://www.goodreads.com/book/show/11389875-edge-of-eternity, https://www.goodreads.com/author/show/3447.Ken_Follett, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875._SY75_.jpg
26, The Selection (The Selection #1), Kiera Cass, 4.09 avg rating - 1.407.394 ratings, 1.064, 11, https://www.goodreads.com/book/show/10507293-the-selection, https://www.goodreads.com/author/show/2987125.Kiera_Cass, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg
27, Station Eleven, Emily St. John Mandel, 4.07 avg rating - 465.054 ratings, 1.062, 11, https://www.goodreads.com/book/show/20170404-station-eleven, https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404._SX50_.jpg
28, Paper Towns, John Green, 3.73 avg rating - 1.259.788 ratings, 1.062, 11, https://www.goodreads.com/book/show/6442769-paper-towns, https://www.goodreads.com/author/show/1406384.John_Green, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg
29, The Perks of Being a Wallflower, Stephen Chbosky, 4.22 avg rating - 1.659.028 ratings, 1.061, 11, https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower, https://www.goodreads.com/author/show/12898.Stephen_Chbosky, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg
30, The Rosie Project (Don Tillman #1), Graeme Simsion, 4.02 avg rating - 531.592 ratings, 1.054, 11, https://www.goodreads.com/book/show/17925125-the-rosie-project, https://www.goodreads.com/author/show/1895943.Graeme_Simsion, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125._SY75_.jpg
31, Carry On (Simon Snow #1), Rainbow Rowell, 4.19 avg rating - 293.398 ratings, 881, 9, https://www.goodreads.com/book/show/23734628-carry-on, https://www.goodreads.com/author/show/4208569.Rainbow_Rowell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628._SY75_.jpg
32, The Boston Girl, Anita Diamant, 3.82 avg rating - 83.508 ratings, 879, 9, https://www.goodreads.com/book/show/22450859-the-boston-girl, https://www.goodreads.com/author/show/626222.Anita_Diamant, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859._SX50_.jpg
