id, name, link, image, born, web, bio 
45, Garrison Keillor, https://www.goodreads.com/author/show/2014.Garrison_Keillor, https://images.gr-assets.com/authors/1259697704p5/2014.jpg, Anoka* Minnesota* The United States, http://www.garrisonkeillor.com/," Garrison Keillor (born Gary Edward Keillor on August 7* 1942 in Anoka* Minnesota) is an American author* storyteller* humorist* columnist* musician* satirist* and radio personality. He is known as host of the Minnesota Public Radio show ""A Prairie Home Companion"".Keillor was born in Anoka* Minnesota* the son of Grace Ruth (née Denham) and John Philip Keillor* who was a carpenter and postal worker. His father had English ancestry* partly by way of Canada (Keillor's paternal grandfather was from Kingston* Ontario). His maternal grandparents were Scottish immigrants* from Glasgow. The family belonged to the Plymouth Brethren* a fundamentalist Christian denomination Keillor has since left. He is six feet* three inches (1.9 m) tall. Keillor is a"
46, Pablo Picasso, https://www.goodreads.com/author/show/3253.Pablo_Picasso, https://images.gr-assets.com/authors/1684536524p5/3253.jpg, Málaga* Spa,, Pablo Ruiz Picasso* often referred to simply as Picasso* was a Spanish painter and sculptor. His full name is Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Cipriano de la Santísima Trinidad Clito Ruiz y Picasso. One of the most recognized figures in 20th century art* he is best known as the co-founder* along with Georges Braque* of cubism.
47, Anaïs Nin, https://www.goodreads.com/author/show/7190.Ana_s_Nin, https://images.gr-assets.com/authors/1585811222p5/7190.jpg, Neuilly* France, http://www.anaisnin.com," French-born novelist* passionate eroticist and short story writer* who gained international fame with her journals. Spanning the years from 1931 to 1974* they give an account of one woman's voyage of self-discovery. ""It's all right for a woman to be* above all* human. I am a woman first of all."" (from The Diary of Anaïs Nin* vol. I* 1966) Anaïs Nin was largely ignored until the 1960s. Today she is regarded as one of the leading female writers of the 20th century and a source of inspiration for women challenging conventionally defined gender roles."
48, Suzanne Collins, https://www.goodreads.com/author/show/153394.Suzanne_Collins, https://images.gr-assets.com/authors/1630199330p5/153394.jpg, Hartford* Connecticut* The United States, http://suzannecollinsbooks.com/, Librarian Note: There is more than one author in the Goodreads database with this name.Since 1991* Suzanne Collins has been busy writing for children’s television. She has worked on the staffs of several Nickelodeon shows* including the Emmy-nominated hit Clarissa Explains it All and The Mystery Files of Shelby Woo. For preschool viewers* she penned multiple stories for the Emmy-nominated Little Bear and Oswald. She also co-wrote the critically acclaimed Rankin/Bass Christmas special* Santa* Baby! Most recently she was the Head Writer for Scholastic Entertainment’s Clifford’s Puppy Days.While working on a Kids WB show called Generation O! she met children’s author James Proimos* who talked her into giving children’s books a try.Thinking one
49, C.S. Lewis, https://www.goodreads.com/author/show/1069006.C_S_Lewis, https://images.gr-assets.com/authors/1564671804p5/1069006.jpg, Belfast* Ireland, http://www.cslewis.com/, Librarian Note: There is more than one author in the Goodreads database with this name.Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University* a position he held until his retirement. He wrote more than thirty books* allowing him to reach a vast audience* and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity* Out of the Silent Planet* The Great Divorce* The Screwtape Letters* and the
50, Charles M. Schulz, https://www.goodreads.com/author/show/209672.Charles_M_Schulz, https://images.gr-assets.com/authors/1198590750p5/209672.jpg, Minneapolis* MN* The United States,, Charles Monroe Schulz was an American cartoonist* whose comic strip Peanuts proved one of the most popular and influential in the history of the medium* and is still widely reprinted on a daily basis.Schulz's first regular cartoons* Li'l Folks* were published from 1947 to 1950 by the St. Paul Pioneer Press- he first used the name Charlie Brown for a character there* although he applied the name in four gags to three different boys and one buried in sand. The series also had a dog that looked much like Snoopy. In 1948* Schulz sold a cartoon to The Saturday Evening Post- the first of 17 single-panel cartoons by Schulz that would be published there. In 1948* Schulz tried to have Li'l Folks syndicated through the Newspaper Enterprise Associatio
51, George Bernard Shaw, https://www.goodreads.com/author/show/5217.George_Bernard_Shaw, https://images.gr-assets.com/authors/1271683549p5/5217.jpg, Dublin* Ireland,, George Bernard Shaw was an Irish playwright* socialist* and a co-founder of the London School of Economics. Although his first profitable writing was music and literary criticism* in which capacity he wrote many highly articulate pieces of journalism* his main talent was for drama. Over the course of his life he wrote more than 60 plays. Nearly all his plays address prevailing social problems* but each also includes a vein of comedy that makes their stark themes more palatable. In these works Shaw examined education* marriage* religion* government* health care* and class privilege.An ardent socialist* Shaw was angered by what he perceived to be the exploitation of the working class. He wrote many brochures and speeches for the Fabian Societ
52, Jim Henson, https://www.goodreads.com/author/show/4427.Jim_Henson, https://images.gr-assets.com/authors/1208316138p5/4427.jpg, Greenville* Mississippi* The United States, http://www.jimhensonlegacy.org/," James Maury ""Jim"" Henson was the most widely known puppeteer in American television history. He was the creator of The Muppets and the leading force behind their long creative run in the television series Sesame Street and The Muppet Show and films such as The Muppet Movie (1979) and The Dark Crystal (1982). He was also an Oscar-nominated film director* Emmy Award-winning television producer* and the founder of The Jim Henson Company* the Jim Henson Foundation* and Jim Henson's Creature Shop. Henson is widely acknowledged for the ongoing vision of faith* friendship* magic* and love which infused nearly all of his work.When Henson died on May 16* 1990* his sudden death resulted in an outpouring of public and professional affection. There hav"
53, Cassandra Clare, https://www.goodreads.com/author/show/150038.Cassandra_Clare, https://images.gr-assets.com/authors/1270502031p5/150038.jpg, Teheran* Iran, http://www.cassandraclare.com/," Hello Goodreadsers. Here's my official bio:""Cassandra Clare was born overseas and spent her early years traveling around the world with her family and several trunks of fantasy books. Cassandra worked for several years as an entertainment journalist for the Hollywood Reporter before turning her attention to fiction. She is the author of City of Bones* the first book in the Mortal Instruments trilogy and a New York Times bestseller. Cassandra lives with her fiance and their two cats in Massachusetts.""You can find me online at www.cassandraclare.comI have a blog:http://cassandraclare.livejournal.com/and a Facebook:http://www.facebook.com/Cassandraclareand a Twitter:www.twitter.com/cassieclareI'll be available here on Goodreads to answer quest"
54, Nicholas Sparks, https://www.goodreads.com/author/show/2345.Nicholas_Sparks, https://images.gr-assets.com/authors/1652281333p5/2345.jpg, Omaha* Nebraska* The United States, http://www.nicholassparks.com/, Nicholas Sparks is one of the world’s most beloved storytellers. All of his books have been New York Times bestsellers* with over 105 million copies sold worldwide* in more than 50 languages* including over 75 million copies in the United States alone.Sparks wrote one of his best-known stories* The Notebook* over a period of six months at age 28. It was published in 1996 and he followed with the novels Message in a Bottle (1998)* A Walk to Remember (1999)* The Rescue (2000)* A Bend in the Road (2001)* Nights in Rodanthe (2002)* The Guardian (2003)* The Wedding (2003)* True Believer (2005) and its sequel* At First Sight (2005)* Dear John (2006)* The Choice (2007)* The Lucky One (2008)* The Last Song (2009)* Safe Haven (2010)* The Best of Me 
55, Markus Zusak, https://www.goodreads.com/author/show/11466.Markus_Zusak, https://images.gr-assets.com/authors/1537240528p5/11466.jpg, Sydney* Australia, http://www.zusakbooks.com, Markus Zusak is the author of five books* including the international bestseller* The Book Thief* which spent more than a decade on the New York Times bestseller list* and is translated into more than forty languages – establishing Zusak as one of the most successful authors to come out of Australia.To date* Zusak has held the number one position at Amazon.com* Amazon.co.uk* the New York Times bestseller list* as well as in countries across South America* Europe and Asia. His books* The Underdog* Fighting Ruben Wolfe* When Dogs Cry (also titled Getting the Girl)* The Messenger (or I am the Messenger) and The Book Thief have been awarded numerous honours ranging from literary prizes to readers choice awards to prizes 
56, Abraham Lincoln, https://www.goodreads.com/author/show/229.Abraham_Lincoln, https://images.gr-assets.com/authors/1198518158p5/229.jpg, Hardcounty* Kentucky* The United States,, Abraham Lincoln* the sixteenth president of the United States from 1861 to 1865* led the Union during the Civil War and emancipated slaves in the south in 1863- shortly after the end of the war* John Wilkes Booth assassinated him. As an outspoken opponent of the expansion of slavery* Lincoln won the nomination of the Republican Party in 1860* and people elected him later in that year. During his term* he led the defeat of the secessionist Confederate States of America and thus helped to preserve. He introduced measures that resulted in the abolition* issued his Emancipation Proclamation in 1863* and promoted the passage of the thirteenth amendment to the Constitution in 1865. https://en.wikipedia.org/wiki/Abraham...
57, Ernest Hemingway, https://www.goodreads.com/author/show/1455.Ernest_Hemingway, https://images.gr-assets.com/authors/1654446435p5/1455.jpg, Oak Park* Illinois* The United States,, Terse literary style of Ernest Miller Hemingway* an American writer* ambulance driver of World War I * journalist* and expatriate in Paris during the 1920s* marks short stories and novels* such as The Sun Also Rises (1926) and The Old Man and the Sea (1952)* which concern courageous* lonely characters* and he won the Nobel Prize of 1954 for literature.Economical and understated style of Hemingway strongly influenced 20th-century fiction* whereas his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s. He published seven novels* six short story collections and two nonfiction works. Survivors published posthumously three novels* four collectio
58, Winston S. Churchill, https://www.goodreads.com/author/show/14033.Winston_S_Churchill, https://images.gr-assets.com/authors/1306133803p5/14033.jpg, Duke of Malborough's Palace Woodstock* Oxfordshire* England,," Sir Winston Leonard Spencer-Churchill* KG* OM* CH* TD* FRS* PC (Can) was a British politician who served as Prime Minister of the United Kingdom from 1940 to 1945* and again from 1951 to 1955. A noted statesman* orator and strategist* Churchill was also an officer in the British Army. A prolific author* he won the Nobel Prize in Literature in 1953 for his own historical writings* ""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values.""Out of respect for the well-known American author* Winston Churchill* Winston S. Churchill offered to use his middle initial in any works that he authored."
59, Helen Keller, https://www.goodreads.com/author/show/7275.Helen_Keller, https://images.gr-assets.com/authors/1266096039p5/7275.jpg, Tuscumbia* Alabama* The United States,, Blind and deaf since infancy* American memoirist and lecturer Helen Adams Keller learned to read* to write* and to speak from her teacher Anne Sullivan* graduated from Radcliffe in 1904* and lectured widely on behalf of sightless people- her books include Out of the Dark (1913). Conditions bound not Keller. Scarlet fever rendered her deaf and blind at 19 months- she in several languages and as a student wrote The Story of My Life. In this age* few women then attended college* and people often relegated the disabled to the background and spoke of the disabled only in hushed tones* when she so remarkably accomplished. Nevertheless* alongside many other impressive achievements* Keller authored 13 books* wrote countless articles* and de
60, Stephen Chbosky, https://www.goodreads.com/author/show/12898.Stephen_Chbosky, https://images.gr-assets.com/authors/1599132962p5/12898.jpg, Pittsburgh* The United States,, Stephen Chbosky grew up in Pittsburgh* Pennsylvania* and graduated from the University of Southern California's Filmic Writing Program. His first film* The Four Corners of Nowhere* premiered at the 1995 Sundance Film Festival and went on to win Best Narrative Feature honors at the Chicago Underground Film Festival. He is the recipient of the Abraham Polonsky Screenwriting Award for his screenplay Everything Divided as well as a participant in the Sundance Institute's filmmakers' lab for his current project* Fingernails and Smooth Skin. Chbosky lives in New York. For more information* please see http://en.wikipedia.org/wiki/Stephen_...
61, Shel Silverstein, https://www.goodreads.com/author/show/435477.Shel_Silverstein, https://images.gr-assets.com/authors/1609211774p5/435477.jpg, Chicago* IL* The United States, http://www.shelsilverstein.com/indexSite.html, Shel Silverstein was the author-artist of many beloved books of prose and poetry. He was a cartoonist* playwright* poet* performer* recording artist* and Grammy-winning* Oscar-nominated songwriter.
62, Charles Bukowski, https://www.goodreads.com/author/show/13275.Charles_Bukowski, https://images.gr-assets.com/authors/1501509674p5/13275.jpg, Andernach* Germany, http://bukowski.net, Henry Charles Bukowski (born as Heinrich Karl Bukowski) was a German-born American poet* novelist and short story writer. His writing was influenced by the social* cultural and economic ambience of his home city of Los Angeles.It is marked by an emphasis on the ordinary lives of poor Americans* the act of writing* alcohol* relationships with women and the drudgery of work. Bukowski wrote thousands of poems* hundreds of short stories and six novels* eventually publishing over sixty booksCharles Bukowski was the only child of an American soldier and a German mother. At the age of three* he came with his family to the United States and grew up in Los Angeles. He attended Los Angeles City College from 1939 to 1941* then left school and moved to
63, Elizabeth Gilbert, https://www.goodreads.com/author/show/11679.Elizabeth_Gilbert, https://images.gr-assets.com/authors/1440718929p5/11679.jpg, Waterbury* Connecticut* The United States, http://www.elizabethgilbert.com, Elizabeth Gilbert is an award-winning writer of both fiction and non-fiction. Her short story collection Pilgrims was a finalist for the PEN/Hemingway award* and her novel Stern Men was a New York Times notable book. Her 2002 book The Last American Man was a finalist for both the National Book Award and the National Book Critic’s Circle Award. Her memoir* Eat* Pray* Love* spent 57 weeks in the #1 spot on the New York Times paperback bestseller list. It has shipped over 6 million copies in the US and has been published in over thirty languages. A film adaptation of the book was released by Columbia Pictures with an all star cast: Julia Roberts as Gilbert* Javier Bardem as Felipe* James Franco as David* Billy Crudup as her ex-husband and Rich
64, Jodi Picoult, https://www.goodreads.com/author/show/7128.Jodi_Picoult, https://images.gr-assets.com/authors/1657141143p5/7128.jpg, Nesconset* Long Island* New York** The United States, http://www.jodipicoult.com/, Jodi Picoult is the #1 New York Times bestselling author of twenty-eight novels* including Wish You Were Here* Small Great Things* Leaving Time* and My Sister’s Keeper* and* with daughter Samantha van Leer* two young adult novels* Between the Lines and Off the Page. Picoult lives in New Hampshire.MAD HONEY* her new novel co-authored with Jennifer Finney Boylan* is available in hardcover* ebook* and audio on October 4* 2022.Website: http://www.jodipicoult.com/Facebook: https://www.facebook.com/jodipicoult Twitter: https://twitter.com/jodipicoult
65, J.D. Salinger, https://www.goodreads.com/author/show/819789.J_D_Salinger, https://images.gr-assets.com/authors/1288777679p5/819789.jpg, Manhattan* New York* The United States,," Works* most notably novel The Catcher in the Rye (1951)* of American writer Jerome David Salinger often concern troubled* sensitive adolescents. People well know this author for his reclusive nature. He published his last original work in 1965 and gave his last interview in 1980. Reared in city of New York* Salinger began short stories in secondary school and published several stories in the early 1940s before serving in World War II. In 1948* he published the critically acclaimed story ""A Perfect Day for Bananafish"" in The New Yorker* his subsequent home magazine. He released an immediate popular success. His depiction of adolescent alienation and loss of innocence in the protagonist Holden Caulfield especially influenced adolescent re"
66, Anais Nin, https://www.goodreads.com/author/show/7190.Ana_s_Nin, https://images.gr-assets.com/authors/1585811222p5/7190.jpg, Neuilly* France, http://www.anaisnin.com," French-born novelist* passionate eroticist and short story writer* who gained international fame with her journals. Spanning the years from 1931 to 1974* they give an account of one woman's voyage of self-discovery. ""It's all right for a woman to be* above all* human. I am a woman first of all."" (from The Diary of Anaïs Nin* vol. I* 1966) Anaïs Nin was largely ignored until the 1960s. Today she is regarded as one of the leading female writers of the 20th century and a source of inspiration for women challenging conventionally defined gender roles."
67, Alexandre Dumas-fils, https://www.goodreads.com/author/show/3186713.Alexandre_Dumas_fils, https://images.gr-assets.com/authors/1457825404p5/3186713.jpg, Paris* France,, Alexandre Dumas (fils) (son) was born in Paris* France* the illegitimate child of Marie-Laure-Catherine Labay (1794-1868)* a dressmaker* and novelist Alexandre Dumas. During 1831 his father legally recognized him and ensured that the young Dumas received the best education possible at the Institution Goubaux and the Collège Bourbon. At that time* the law allowed the elder Dumas to take the child away from his mother. Her agony inspired Dumas fils to write about tragic female characters. In almost all of his writings* he emphasized the moral purpose of literature and in his play The Illegitimate Son (1858) he espoused the belief that if a man fathers an illegitimate child then he has an obligation to legitimize the child and marry the woman.
68, Robert Fulghum, https://www.goodreads.com/author/show/19630.Robert_Fulghum, https://images.gr-assets.com/authors/1535564306p5/19630.jpg, Waco* Texas* The United States, http://www.robertfulghum.com/, Robert Fulghum is an American author* primarily of short essays.
69, Walter M. Miller Jr., https://www.goodreads.com/author/show/6025722.Walter_M_Miller_Jr_, https://images.gr-assets.com/authors/1339680458p5/6025722.jpg, New Smyrna Beach* Florida* The United States,," From the Wikipedia article* ""Walter M. Miller* Jr."":Miller was born in New Smyrna Beach* Florida. Educated at the University of Tennessee and the University of Texas* he worked as an engineer. During World War II* he served in the Army Air Corps as a radioman and tail gunner* flying more than fifty bombing missions over Italy. He took part in the bombing of the Benedictine Abbey at Monte Cassino* which proved a traumatic experience for him. Joe Haldeman reported that Miller ""had Post Traumatic Stress Disorder for 30 years before it had a name"".After the war* Miller converted to Catholicism. He married Anna Louise Becker in 1945* and they had four children. For several months in 1953 he lived with science-fiction writer Judith Merril* ex-wif"
70, Alfred Tennyson, https://www.goodreads.com/author/show/13638502.Alfred_Tennyson, https://images.gr-assets.com/authors/1454788521p5/13638502.jpg, Somersby* Lincolnshire* England,, Alfred Tennyson* invariably known as Alfred Lord Tennyson on all his books* was born in Somersby* Lincolnshire* the fourth of the twelve children of George Tennyson* clergyman* and his wife* Elizabeth. In 1816 Tennyson was sent to Louth Grammar School* which he disliked so intensely that from 1820 he was educated at home until at the age of 18 he joined his two brothers at Trinity College* Cambridge and with his brother Charles published his first book* Poems by Two Brothers the same year. His second book* Poems Chiefly Lyrical was published in 1830. In 1833* Tennyson's best friend Arthur Henry Hallam* who was engaged to his sister* died* inspiring some of his best work including In Memoriam* Ulysses and the Passing of Arthur.In 1850* follo
71, Virginia Woolf, https://www.goodreads.com/author/show/6765.Virginia_Woolf, https://images.gr-assets.com/authors/1419596619p5/6765.jpg, Kensington* Middlesex* England* The United Kingdom, http://www.virginiawoolfsociety.co.uk/," (Adeline) Virginia Woolf was an English novelist and essayist regarded as one of the foremost modernist literary figures of the twentieth century.During the interwar period* Woolf was a significant figure in London literary society and a member of the Bloomsbury Group. Her most famous works include the novels Mrs. Dalloway (1925)* To the Lighthouse (1927)* and Orlando (1928)* and the book-length essay A Room of One's Own (1929) with its famous dictum* ""a woman must have money and a room of her own if she is to write fiction."""
72, Terry Pratchett, https://www.goodreads.com/author/show/1654.Terry_Pratchett, https://images.gr-assets.com/authors/1235562205p5/1654.jpg, Beaconsfield* Buckinghamshire* England* The United Kingdom, http://www.terrypratchett.co.uk, Born Terence David John Pratchett* Sir Terry Pratchett sold his first story when he was thirteen* which earned him enough money to buy a second-hand typewriter. His first novel* a humorous fantasy entitled The Carpet People* appeared in 1971 from the publisher Colin Smythe. Terry worked for many years as a journalist and press officer* writing in his spare time and publishing a number of novels* including his first Discworld novel* The Color of Magic* in 1983. In 1987* he turned to writing full time. There are over 40 books in the Discworld series* of which four are written for children. The first of these* The Amazing Maurice and His Educated Rodents* won the Carnegie Medal. A non-Discworld book* Good Omens* his 1990 collaboration with Nei
73, Bill Watterson, https://www.goodreads.com/author/show/13778.Bill_Watterson, https://images.gr-assets.com/authors/1374016829p5/13778.jpg, Washington* D.C.* The United States,," Bill Watterson (born William Boyd Watterson II) is an American cartoonist* and the author of the comic strip ""Calvin and Hobbes"". His career as a syndicated cartoonist ran from 1985 to 1995- he stopped drawing ""Calvin and Hobbes"" at the end of 1995 with a short statement to newspaper editors and his fans that he felt he had achieved all he could in the comic strip medium. During the early years of his career he produced several drawings and additional contributions for ""Target: The Political Cartoon Quarterly"". Watterson is known for his views on licensing and comic syndication* as well as for his reclusive nature."
74, Toni Morrison, https://www.goodreads.com/author/show/3534.Toni_Morrison, https://images.gr-assets.com/authors/1494211316p5/3534.jpg, Lorain* Ohio* The United States, http://www.tonimorrisonsociety.org/," Toni Morrison (born Chloe Ardelia Wofford) was an American author* editor* and professor who won the 1993 Nobel Prize in Literature for being an author ""who in novels characterized by visionary force and poetic import* gives life to an essential aspect of American reality."" Her novels are known for their epic themes* vivid dialogue* and richly detailed African American characters- among the best known are her novels The Bluest Eye* Song of Solomon* and Beloved* which won the Pulitzer Prize for Fiction in 1988. In 2001 she was named one of ""The 30 Most Powerful Women in America"" by Ladies' Home Journal."
75, A.A. Milne, https://www.goodreads.com/author/show/81466.A_A_Milne, https://images.gr-assets.com/authors/1204664899p5/81466.jpg, Hampstead* London* England* The United Kingdom,, Alan Alexander Milne (pronounced /ˈmɪln/) was an English author* best known for his books about the teddy bear Winnie-the-Pooh and for various children's poems. A. A. Milne was born in Kilburn* London* to parents Vince Milne and Sarah Marie Milne (née Heginbotham) and grew up at Henley House School* 6/7 Mortimer Road (now Crescent)* Kilburn* a small public school run by his father. One of his teachers was H. G. Wells who taught there in 1889–90. Milne attended Westminster School and Trinity College* Cambridge* where he studied on a mathematics scholarship. While there* he edited and wrote for Granta* a student magazine. He collaborated with his brother Kenneth and their articles appeared over the initials AKM. Milne's work came to the atten
76, Jess C. Scott, https://www.goodreads.com/author/show/2980674.Jess_C_Scott, https://images.gr-assets.com/authors/1603737393p5/2980674.jpg, , http://www.jessINK.com," Hi all*I made A TON of personal and professional mistakes throughout my early to mid-twenties. As a result* I won't be writing under my ""Jess C Scott"" pen name as it doesn't reflect who I am anymore (it's a pen name I used since I was 12 years old).I have tried to make amends where possible and learn from my mistakes so that I make better choices in future.This year* I started working on some horror short stories. I intend to publish them at some point in future under my real name.I hope to see you at my new site if the genre is of interest to you :)Thank you and take care! 👋✍️-- Jess. (October 2020)WEBSITE: www.jesschuabooks.com+ + +Previous Awards / Publications******************************• Tea Leaves (Cha journal) / Jan 2015• Playmates"
77, Stephenie Meyer, https://www.goodreads.com/author/show/941441.Stephenie_Meyer, https://images.gr-assets.com/authors/1596739281p5/941441.jpg, Connecticut* The United States, http://www.stepheniemeyer.com/," Stephenie Meyer is the author of the bestselling Twilight series* The Host* and The Chemist. Twilight was one of 2005's most talked about novels and within weeks of its release the book debuted at #5 on The New York Times bestseller list. Among its many accolades* Twilight was named an ""ALA Top Ten Books for Young Adults*"" an Amazon.com ""Best Book of the Decade So Far*"" and a Publishers Weekly Best Book of the Year. Meyer graduated from Brigham Young University with a degree in English Literature. She lives in Arizona with her husband and three sons."
78, George Carlin, https://www.goodreads.com/author/show/22782.George_Carlin, https://images.gr-assets.com/authors/1664917557p5/22782.jpg, New York* New York* The United States, http://www.georgecarlin.com/," George Denis Patrick Carlin was a Grammy-winning American stand-up comedian* actor* author* and philosopher.Carlin was especially noted for his political and black humor and his observations on language* psychology* and religion along with many taboo subjects. Carlin and his ""Seven Dirty Words"" comedy routine were central to the 1978 U.S. Supreme Court case F.C.C. v. Pacifica Foundation* in which a narrow 5-4 decision by the justices affirmed the government's right to regulate Carlin's act on the public airwaves.Carlin's mid-2000s stand-up routines focused on the flaws in modern-day America. He often took on contemporary political issues in the United States and satirized the excesses of American culture.A disciple of Lenny Bruce* he placed"
79, Benjamin Franklin Wade, https://www.goodreads.com/author/show/4184579.Benjamin_Franklin_Wade, https://images.gr-assets.com/authors/1445333361p5/4184579.jpg, Springfield* Massachusetts* The United States,," Benjamin Franklin ""Bluff"" Wade was a United States Senator during Civil War reconstruction known for his leading role among the Radical Republicans.Had the impeachment of Andrew Johnson in 1868 led to a conviction at trial in the Senate* he would have assumed the presidential powers and duties."
80, Paulo Coelho, https://www.goodreads.com/author/show/566.Paulo_Coelho, https://images.gr-assets.com/authors/1201840056p5/566.jpg, Rio de Janeiro* Brazil, http://www.paulocoelhoblog.com, The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature* he worked as theatre director and actor* lyricist and journalist. In 1986* PAULO COELHO did the pilgrimage to Saint James of Compostella* an experience later to be documented in his book The Pilgrimage. In the following year* COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel* but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990)* The Valkyries (1992)* By the river Piedra I sat Down and Wept (1994)* the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub 
81, John Lennon, https://www.goodreads.com/author/show/19968.John_Lennon, https://images.gr-assets.com/authors/1207677340p5/19968.jpg, Liverpool* England* The United Kingdom, http://www.johnlennon.com/," John Winston Ono Lennon* MBE* was an English singer-songwriter who rose to worldwide fame as one of the founding members of The Beatles* and together with Paul McCartney formed one of the most successful songwriting partnerships of the 20th century.Born and raised in Liverpool* Lennon became involved in the skiffle craze as a teenager* his first band* The Quarrymen* evolving into The Beatles in 1960. As the group began to undergo the disintegration that led to their break-up towards the end of that decade* Lennon launched a solo career that would span the next decade* punctuated by critically acclaimed albums* including John Lennon/Plastic Ono Band and Imagine* and iconic songs such as ""Give Peace a Chance"" and ""Imagine"".Lennon revealed a r"
82, W.C. Fields, https://www.goodreads.com/author/show/82951.W_C_Fields, https://images.gr-assets.com/authors/1331712829p5/82951.jpg, Darby* Pennsylvania* The United States, http://www.wcfields.com/, W. C. Fields was born William Claude Dukenfield* the eldest of five children. Field's parents were a Cockney immigrant James Dukenfield and Philadelphia native Kate FeltonHe was an American juggler* comedian* and actor. Fields created one of the great American comic personas of the first half of the 20th century—a misanthrope who teetered on the edge of buffoonery but never quite fell in* an egotist blind to his own failings* a charming drunk- and a man who hated children* dogs* and women* unless they were the wrong sort of women.Fields was a marvel of marketing* he would go as far as pretending to drown in the ocean or other bodies of water* hoping to draw crowds (i.e. customers). His notoriety began around the age of 19* being propelled b
83, Sylvia Plath, https://www.goodreads.com/author/show/4379.Sylvia_Plath, https://images.gr-assets.com/authors/1613135175p5/4379.jpg, Jamaica Plain* Massachusetts* The United States,, Sylvia Plath was an American poet* novelist* and short story writer. Known primarily for her poetry* Plath also wrote a semi-autobiographical novel* The Bell Jar* under the pseudonym Victoria Lucas. The book's protagonist* Esther Greenwood* is a bright* ambitious student at Smith College who begins to experience a mental breakdown while interning for a fashion magazine in New York. The plot parallels Plath's experience interning at Mademoiselle magazine and subsequent mental breakdown and suicide attempt.
84, Harper Lee, https://www.goodreads.com/author/show/1825.Harper_Lee, https://images.gr-assets.com/authors/1593873322p5/1825.jpg, Monroeville* Alabama* The United States, http://www.harperlee.com, Harper Lee* known as Nelle* was born in the Alabama town of Monroeville* the youngest of four children of Amasa Coleman Lee and Frances Cunningham Finch Lee. Her father* a former newspaper editor and proprietor* was a lawyer who served on the state legislature from 1926 to 1938. As a child* Lee was a tomboy and a precocious reader* and enjoyed the friendship of her schoolmate and neighbor* the young Truman Capote.After graduating from high school in Monroeville* Lee enrolled at the all-female Huntingdon College in Montgomery (1944-45)* and then pursued a law degree at the University of Alabama (1945-50)* pledging the Chi Omega sorority. While there* she wrote for several student publications and spent a year as editor of the campus humor ma
85, Kurt Vonnegut, https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_, https://images.gr-assets.com/authors/1433582280p5/2778055.jpg, Indianapolis* Indiana* The United States, http://www.vonnegut.com/, Kurt Vonnegut* Junior was an American novelist* satirist* and most recently* graphic artist. He was recognized as New York State Author for 2001-2003. He was born in Indianapolis* later the setting for many of his novels. He attended Cornell University from 1941 to 1943* where he wrote a column for the student newspaper* the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. After the war* he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady* New York in public relations for General Electric. He attributed his unadorned writing st
86, Marianne Williamson, https://www.goodreads.com/author/show/17297.Marianne_Williamson, https://images.gr-assets.com/authors/1527630587p5/17297.jpg, Houston* Texas* The United States, http://marianne.com/, Marianne Williamson is an internationally acclaimed lecturer* activist* and author with six New York Times bestsellers. Her books include Tears to Triumph* A Return to Love* A Year of Miracles* The Law of Divine Compensation* The Gift of Change* The Age of Miracles* Everyday Grace* A Woman's Worth* Illuminata* and A Course in Weight Loss. She has been a popular guest on television programs such as Oprah and Good Morning America. 
87, J.M. Barrie, https://www.goodreads.com/author/show/5255014.J_M_Barrie, https://images.gr-assets.com/authors/1519029719p5/5255014.jpg, Kirriemuir* Angus* Scotland,, Sir James Matthew Barrie* 1st Baronet* OM was a Scottish author and dramatist* best remembered today as the creator of Peter Pan.The son of a weaver* Barrie studied at the University of Edinburgh. He took up journalism* worked for a Nottingham newspaper* and contributed to various London journals before moving to London in 1885. His early works* Auld Licht Idylls (1889) and A Window in Thrums (1889)* contain fictional sketches of Scottish life and are commonly seen as representative of the Kailyard school. The publication of The Little Minister (1891) established his reputation as a novelist. During the next 10 years Barrie continued writing novels* but gradually his interest turned toward the theatre.In London he met the Llewelyn Davies bo
