id, name, quote, tags
88, John Green," I'm in love with you*"" he said quietly.""Augustus*"" I said.""I am*"" he said. He was staring at me* and I could see the corners of his eyes crinkling. ""I'm in love with you* and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you* and I know that love is just a shout into the void* and that oblivion is inevitable* and that we're all doomed and that there will come a day when all our labor has been returned to dust* and I know the sun will swallow the only earth we'll ever have* and I am in love with you.", doomed* inevitable* love* oblivion* pleasure* simple* 
89, Albert Einstein, Logic will get you from A to Z; imagination will get you everywhere., attributed-no-source* imagination* 
90, Cassandra Clare," Have you fallen in love with the wrong person yet?'Jace said* ""Unfortunately* Lady of the Haven* my one true love remains myself.""...""At least*"" she said* ""you don't have to worry about rejection* Jace Wayland.""""Not necessarily. I turn myself down occasionally* just to keep it interesting.", city-of-bones* jace* 
91, Nicholas Sparks, I am nothing special* of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten* but I've loved another with all my heart and soul* and to me* this has always been enough.., love* 
92, Markus Zusak, Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are., beauty* life* 
93, William Shakespeare, Love looks not with the eyes* but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child* Because in choice he is so oft beguil'd., love* 
94, Bob Marley, The truth is* everyone is going to hurt you. You just got to find the ones worth suffering for., friendship* 
95, John Green, You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices., satisfaction* self-determination* 
96, Dr. Seuss, The more that you read* the more things you will know. The more that you learn* the more places you'll go., learning* reading* seuss* 
97, Abraham Lincoln, Folks are usually about as happy as they make their minds up to be., attributed-no-source* happiness* 
98, Ernest Hemingway, There is no friend as loyal as a book., books* friends* novelist-quotes* 
99, Bob Marley, One good thing about music* when it hits you* you feel no pain., music* 
100, Douglas Adams, The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move., humor* scifi* 
101, Groucho Marx, I find television very educating. Every time somebody turns on the set* I go into the other room and read a book., books* humor* reading* television* 
102, Winston S. Churchill, Success is not final* failure is not fatal: it is the courage to continue that counts., bravery* courage* failure* inspirational* success* 
103, Nicholas Sparks, Love is like the wind* you can't see it but you can feel it., love* simile* 
104, Mother Teresa, Not all of us can do great things. But we can do small things with great love., misattributed-to-mother-teresa* paraphrased* 
105, Helen Keller, When one door of happiness closes* another opens; but often we look so long at the closed door that we do not see the one which has been opened for us., inspirational* 
106, Stephen Chbosky, So* this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be., charlie* favourite-books* inspirational* sad* soul-searching* wallflower* 
107, Shel Silverstein, Listen to the mustn'ts* child. Listen to the don'ts. Listen to the shouldn'ts* the impossibles* the won'ts. Listen to the never haves* then listen close to me... Anything can happen* child. Anything can be., anything-can-be* hope* impossible* inspirational* musn-t* possibilities* shouldn-t* won-t* 
108, Jane Austen, There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves* it is not my nature., friendship* love* 
109, Albert Einstein, Life is like riding a bicycle. To keep your balance* you must keep moving., life* simile* 
110, Charles Bukowski, Some people never go crazy. What truly horrible lives they must lead., humor* 
111, Elizabeth Gilbert, People think a soul mate is your perfect fit* and that's what everyone wants. But a true soul mate is a mirror* the person who shows you everything that is holding you back* the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet* because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates* they come into your life just to reveal another layer of yourself to you* and then leave. A soul mates purpose is to shake you up* tear apart your ego a little bit* show you your obstacles and addictions* break your heart open so new light can get in* make you so desperate and out of control that you have to transform your life* then introduce you to your spiritual master..., love* 
112, Jodi Picoult, You don't love someone because they're perfect* you love them in spite of the fact that they're not., imperfect* love* 
113, John Green, Saying 'I notice you're a nerd' is like saying* 'Hey* I notice that you'd rather be intelligent than be stupid* that you'd rather be thoughtful than be vapid* that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact* it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah* whatever* so does 50 Cent* and he's done all right for himself., humor* nerdfighters* 
114, J.K. Rowling, It matters not what someone is born* but what they grow to be., dumbledore* 
115, J.D. Salinger, What really knocks me out is a book that* when you're all done reading it* you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much* though., authors* books* literature* reading* writing* 
116, Anais Nin, Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness* of witherings* of tarnishings., death* love* 
117, Alexandre Dumas-fils, The difference between genius and stupidity is: genius has its limits., misattributed-to-einstein* 
118, Marilyn Monroe, If you can make a woman laugh* you can make her do anything., attributed-no-source* girls* love* 
119, Robert Fulghum, We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours* we join up with them and fall into mutually satisfying weirdness—and call it love—true love., love* weirdness* 
120, Oscar Wilde, It is what you read when you don't have to that determines what you will be when you can't help it., books* reading* 
121, Walter M. Miller Jr., You don’t have a soul* Doctor. You are a soul. You have a body* temporarily., body-soul* misattributed-to-c-s-lewis* 
122, J.R.R. Tolkien, Not all those who wander are lost., bilbo* journey* lost* quest* travel* wander* 
123, Alfred Tennyson, If I had a flower for every time I thought of you...I could walk through my garden forever., friendship* love* 
124, Virginia Woolf, I would venture to guess that Anon* who wrote so many poems without signing them* was often a woman., women* 
125, John Green, Some infinities are bigger than other infinities., infinity* john-green* life* tfios* the-fault-in-our-stars* 
126, Terry Pratchett, The trouble with having an open mind* of course* is that people will insist on coming along and trying to put things in it., humor* open-mind* thinking* 
127, Cassandra Clare," One must always be careful of books*"" said Tessa* ""and what is inside them* for words have the power to change us.", books* 
128, Bill Watterson, Reality continues to ruin my life., calvin-and-hobbes* humor* life* 
129, Stephen Chbosky, Things change. And friends leave. Life doesn't stop for anybody., change* life* 
130, Cassandra Clare," There is no pretending*"" Jace said with absolute clarity. ""I love you* and I will love you until I die* and if there is life after that* I'll love you then.", mortal-instruments* romance* teen-fantasy* 
131, Toni Morrison, If there's a book that you want to read* but it hasn't been written yet* then you must write it., books* writing* 
132, Bob Marley, Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!, judge* life* live* perfection* 
133, J.R.R. Tolkien," I wish it need not have happened in my time*"" said Frodo.""So do I*"" said Gandalf* ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.", adventuring* death* time* 
134, Marilyn Monroe, The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space., attributed-no-source* love* 
135, C.S. Lewis, To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one* not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket* safe* dark* motionless* airless* it will change. It will not be broken; it will become unbreakable* impenetrable* irredeemable. To love is to be vulnerable., love* 
136, John Green, The only way out of the labyrinth of suffering is to forgive., compassion* life* suffering* 
137, Jane Austen, I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own* I shall be miserable if I have not an excellent library., books* library* reading* 
138, A.A. Milne," Piglet sidled up to Pooh from behind. ""Pooh!"" he whispered.""Yes* Piglet?""""Nothing*"" said Piglet* taking Pooh's paw. ""I just wanted to be sure of you.", friendship* piglet* pooh* reassurance* 
139, Jess C. Scott, When someone loves you* the way they talk about you is different. You feel safe and comfortable., desire* emotion* friendship* honesty* imagination* individuality* life* love* passion* reality* relationships* romance* truth* wisdom* wise-words* 
140, Stephenie Meyer, He's like a drug for you* Bella., drug* romance* simile* 
141, George Carlin, The reason I talk to myself is because I’m the only one whose answers I accept., humor* insanity* lies* lying* self-indulgence* truth* 
142, Benjamin Franklin Wade, Go to heaven for the climate and hell for the company., humor* misattributed-mark-twain* philosophy* theology* 
143, J.K. Rowling, Do not pity the dead* Harry. Pity the living* and* above all those who live without love., live-death-love* 
144, Paulo Coelho, And* when you want something* all the universe conspires in helping you to achieve it., inspirational* 
145, Marilyn Monroe, A wise girl kisses but doesn't love* listens but doesn't believe* and leaves before she is left., attributed-no-source* 
146, J.K. Rowling," Dumbledore watched her fly away* and as her silvery glow faded he turned back to Snape* and his eyes were full of tears.""After all this time?""""Always*"" said Snape.", dumbledore* life* love* snape* 
147, Ernest Hemingway, There is nothing to writing. All you do is sit down at a typewriter and bleed., good* writing* 
148, Oscar Wilde, The books that the world calls immoral are books that show the world its own shame., books* morality* reading* 
149, John Lennon, You may say I'm a dreamer* but I'm not the only one. I hope someday you'll join us. And the world will live as one., beatles* connection* dreamers* dreaming* dreams* hope* inspirational* peace* 
150, Mark Twain, ′Classic′ - a book which people praise and don't read., books* classic* reading* 
151, Marilyn Monroe, I am good* but not an angel. I do sin* but I am not the devil. I am just a small girl in a big world trying to find someone to love., attributed-no-source* 
152, Neil Gaiman, I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing., dying* facts* fame* knowing* love* poverty* reality* school* teach* wealth* 
153, Suzanne Collins, You don’t forget the face of the person who was your last hope., the-hunger-games* 
154, W.C. Fields, I am free of all prejudice. I hate everyone equally., humor* sinister* 
155, Ralph Waldo Emerson, Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense., life* regrets* 
156, Sylvia Plath, I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades* tones and variations of mental and physical experience possible in my life. And I am horribly limited., books* life* limits* 
157, Mark Twain, I have never let my schooling interfere with my education., attributed-no-source* education* 
158, Harper Lee, You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it., better-life-empathy* 
159, John Green, The marks humans leave are too often scars., humans* pain* scars* 
160, Suzanne Collins, Remember* we're madly in love* so it's all right to kiss me anytime you feel like it., humor* 
161, Jane Austen, A lady's imagination is very rapid; it jumps from admiration to love* from love to matrimony in a moment., humor* love* romantic* women* 
162, C.S. Lewis, Some day you will be old enough to start reading fairy tales again., age* fairytales* growing-up* 
163, Kurt Vonnegut, We are what we pretend to be* so we must be careful about what we pretend to be., action* attitude* choice* imagination* inspiration* life* pretend* 
164, Marianne Williamson, Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light* not our darkness that most frightens us. We ask ourselves* 'Who am I to be brilliant* gorgeous* talented* fabulous?' Actually* who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine* as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine* we unconsciously give other people permission to do the same. As we are liberated from our own fear* our presence automatically liberates others., akeelah* fear* inspirational* 
165, J.M. Barrie, To die will be an awfully big adventure., adventure* love* 
166, Albert Einstein, Anyone who has never made a mistake has never tried anything new., attributed-no-source* mistakes* 
167, Stephen Chbosky, And in that moment* I swear we were infinite., infinity* 
168, John Green, What a slut time is. She screws everybody., 
169, Stephen King, Books are a uniquely portable magic., books* magic* reading* 
170, Lewis Carroll, It’s no use going back to yesterday* because I was a different person then., alice* humor* inspirational* philosophy-of-life* psychological* yesterday* 
171, Jimi Hendrix, I'm the one that's got to die when it's time for me to die* so let me live my life the way I want to., death* life* 
172, Oscar Wilde, The truth is rarely pure and never simple., truth* 
173, Madeleine L'Engle, You have to write the book that wants to be written. And if the book will be too difficult for grown-ups* then you write it for children., books* children* difficult* grown-ups* write* writers* writing* 
174, Khaled Hosseini, But better to get hurt by the truth than comforted with a lie., life* 
175, Nicholas Sparks, So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday* but I want to do that because I want you. I want all of you* forever* everyday. You and me... everyday., love* marriage* 
176, John Green, Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back., books* reading* 
177, Veronica Roth, We believe in ordinary acts of bravery* in the courage that drives one person to stand up for another., inspirational-quotes* strength-and-courage* 
178, George R.R. Martin, ... a mind needs books as a sword needs a whetstone* if it is to keep its edge., books* mind* 
179, Ayn Rand, [Dean] My dear fellow* who will let you?[Roark] That’s not the point. The point is* who will stop me?, 
180, Mark Twain, The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time., death* life* 
181, John Green, There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course* there is a bigger infinite set of numbers between 0 and 2* or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days* many of them* when I resent the size of my unbounded set. I want more numbers than I'm likely to get* and God* I want more numbers for Augustus Waters than he got. But* Gus* my love* I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days* and I'm grateful., infinity* 
182, C.S. Lewis, I believe in Christianity as I believe that the sun has risen: not only because I see it* but because by it I see everything else., christianity* faith* religion* sun* 
183, J.K. Rowling," The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing* and should therefore be treated with great caution.", truth* 
184, Haruki Murakami, Memories warm you up from the inside. But they also tear you apart., memories* 
185, Mark Twain, A lie can travel half way around the world while the truth is putting on its shoes., misattributed-mark-twain* truth* 
186, J.K. Rowling, Remember* if the time should come when you have to make a choice between what is right and what is easy* remember what happened to a boy who was good* and kind* and brave* because he strayed across the path of Lord Voldemort. Remember Cedric Diggory., integrity* 
187, Mark Twain, Never tell the truth to people who are not worthy of it., truth* 
188, Pablo Neruda, I love you as certain dark things are to be loved* in secret* between the shadow and the soul., love* poetry* 
189, Aristotle, Knowing yourself is the beginning of all wisdom., introspection* self-discovery* wisdom* 
190, Alfred Lord Tennyson, Tis better to have loved and lostThan never to have loved at all., love* paraphrase-of-congreve* 
191, Nicholas Sparks, Just when you think it can't get any worse* it can. And just when you think it can't get any better* it can., life* love* 
192, Cassandra Clare, Only the very weak-minded refuse to be influenced by literature and poetry., books* literature* philosphy* poetry* reading* 
193, Chuck Palahniuk, It's so hard to forget pain* but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace., happiness* pain* peace* scar* sweetness* 
194, Charles J. Sykes, Be nice to nerds. You may end up working for them. We all could., humor* misattributed-to-bill-gates* nerd* nerds* work* 
195, Paulo Coelho, It's the possibility of having a dream come true that makes life interesting., inspirational* 
